Year	Month	Day	Hour	Minute	DOY	TOD	DEC	zm	hc	z0	umean	h	ol	sigmav	ustar	wind_dir	Incident Solar
2018	1	1	0	30	1	0.5	1.02083	52	10	1.5	3.857	3000	5.66	0.241	0.469	60	0
2018	1	1	1	30	1	1.5	1.06250	52	10	1.5	1.415	3000	17.48	0.278	0.205	120	0
2018	1	1	2	30	1	2.5	1.10417	52	10	1.5	0.89	3000	2.64	0.301	0.174	95	0
2018	1	1	3	30	1	3.5	1.14583	52	10	1.5	1.593	3000	2.11	0.167	0.064	280	0
2018	1	1	4	30	1	4.5	1.18750	52	10	1.5	0.91	3000	2.13	0.263	0.146	175	5.5
2018	1	1	5	30	1	5.5	1.22917	52	10	1.5	1.94	3000	2.36	0.354	0.086	35	11
2018	1	1	6	30	1	6.5	1.27083	52	10	1.5	2.06	3000	3.44	0.301	0.137	75	20
2018	1	1	7	30	1	7.5	1.31250	52	10	1.5	1.181	3000	3.06	0.288	0.257	310	30
2018	1	1	8	30	1	8.5	1.35417	52	10	1.5	1.597	3000	-2.84	0.236	0.121	235	40
2018	1	1	9	30	1	9.5	1.39583	52	10	1.5	0.46	3000	-2.12	0.307	0.112	180	50
2018	1	1	10	30	1	10.5	1.43750	52	10	1.5	1.325	3000	-22.68	0.159	0.325	135	70
2018	1	1	11	30	1	11.5	1.47917	52	10	1.5	1.484	3000	-13.87	0.417	0.37	95	90
2018	1	1	12	30	1	12.5	1.52083	52	10	1.5	2.044	3000	-5.80	0.517	0.416	115	130
2018	1	1	13	30	1	13.5	1.56250	52	10	1.5	4.084	3000	-12.17	0.572	0.29	265	140
2018	1	1	14	30	1	14.5	1.60417	52	10	1.5	2.028	3000	-14.45	0.304	0.299	275	125
2018	1	1	15	30	1	15.5	1.64583	52	10	1.5	2.67	3000	-38.32	0.26	0.367	85	105
2018	1	1	16	30	1	16.5	1.68750	52	10	1.5	1.749	3000	14.44	0.257	0.27	95	85
2018	1	1	17	30	1	17.5	1.72917	52	10	1.5	1.185	3000	-26.39	0.411	0.056	280	70
2018	1	1	18	30	1	18.5	1.77083	52	10	1.5	0.917	3000	-123.11	0.38	0.132	175	55
2018	1	1	19	30	1	19.5	1.81250	52	10	1.5	1.027	3000	252.85	0.356	0.057	35	35
2018	1	1	20	30	1	20.5	1.85417	52	10	1.5	1.221	3000	4.59	0.2	0.138	75	23
2018	1	1	21	30	1	21.5	1.89583	52	10	1.5	1.528	3000	-277.72	0.494	0.098	310	9
2018	1	1	22	30	1	22.5	1.93750	52	10	1.5	1.406	3000	-46.97	0.263	0.277	235	0
2018	1	1	23	30	1	23.5	1.97917	52	10	1.5	1.294	3000	5.78	0.378	0.476	115	0
