C	Month	Day	Hour	Minute	DOY	TOD	DEC	zm	hc	z0	umean	h	ol	sigmav	ustar	wind_dir	Incident Solar
								2	0.4	0.06	4.77946	3000	-127.519	1.15013	0.531324	260.698	
								2	0.4	0.06	4.40906	3000	-123.769	1.29213	0.530257	272.079	
								2	0.4	0.06	4.84261	3000	-132.015	1.25078	0.526656	275.694	
								2	0.4	0.06	5.19465	3000	-204.354	1.20963	0.570158	284.579	
								2	0.4	0.06	5.47613	3000	-288.833	1.27009	0.598676	284.238	
								2	0.4	0.06	5.48203	3000	-368.406	1.22324	0.584422	284.809	
								2	0.4	0.06	5.41645	3000	-563.87	1.21729	0.634193	279.922	
								2	0.4	0.06	5.81564	3000	-1618.84	1.29716	0.674666	281.424	
								2	0.4	0.06	5.64603	3000	8056.04	1.12769	0.59575	283.401	
								2	0.4	0.06	5.7348	3000	1000.62	1.19112	0.629407	286.943	
								2	0.4	0.06	5.54684	3000	437.888	1.13989	0.619054	278.591	
								2	0.4	0.06	5.01086	3000	233.411	1.04878	0.566855	285.188	
								2	0.4	0.06	4.9925	3000	206.311	0.982823	0.591982	287.034	
								2	0.4	0.06	5.22893	3000	214.774	0.995258	0.617132	279.13	
								2	0.4	0.06	5.73337	3000	240.303	1.00053	0.629702	280.331	
								2	0.4	0.06	3.93576	3000	119.381	0.826762	0.454624	273.749	
								2	0.4	0.06	3.1171	3000	77.5603	0.755795	0.389173	272.252	
								2	0.4	0.06	3.11821	3000	81.8332	0.750744	0.383754	286.637	
								2	0.4	0.06	1.95914	3000	29.6693	0.494201	0.234524	294.548	
								2	0.4	0.06	2.23142	3000	46.8217	0.47427	0.267195	278.852	
								2	0.4	0.06	1.22754	3000	9.36648	0.311901	0.133431	290.921	
								2	0.4	0.06	1.32632	3000	8.53205	0.388263	0.124907	267.782	
								2	0.4	0.06	0.349475	3000	12.698	0.525991	-9999	167.517	
								2	0.4	0.06	0.613639	3000	6.72966	0.181023	0.0644133	180.159	
								2	0.4	0.06	1.39294	3000	68.8464	0.36656	0.176393	163.481	
								2	0.4	0.06	1.49018	3000	227.857	0.329684	0.168606	156.762	
								2	0.4	0.06	0.703857	3000	56.2453	0.285017	0.11379	130.7	
